time,timestamp,frontend_productcatalogservice,adservice_mysql,productcatalogservice_mysql,checkoutservice_cartservice,frontend_recommendationservice,frontend_adservice,frontend_currencyservice,gateway_nats,recommendationservice_productcatalogservice,checkoutservice_currencyservice,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_productcatalogservice,frontend_checkoutservice,cartservice_redis-cart,checkoutservice_emailservice,frontend_cartservice,checkoutservice_paymentservice
2022-08-21 08:06:59.980293896 +0000 UTC m=+0.788116257,1661069219,0.004269430051813471,7.056,31.302266666666668,0.005,0.02007142857142857,0.01772058823529412,0.03519736842105263,0.019600000000000003,0.008,0.025,0.003,0.0037272727272727275,0.005625,0.43749999999999994,0.6964666666666667,0.0075,0.006676470588235294,0.003
2022-08-21 08:07:59.656921443 +0000 UTC m=+60.464743809,1661069279,0.005787037037037037,1.764,17.113333333333333,0.0071428571428571435,0.01975,0.018333333333333337,0.06818181818181819,0.019600000000000003,0.007916666666666666,0.175,0.003,,0.0034000000000000002,0.019375,0.17913333333333334,0.0075,0.005625,0.003
2022-08-21 08:08:59.709035931 +0000 UTC m=+120.516858291,1661069339,0.006291666666666666,1.764,2.7611999999999997,0.00625,0.019375,0.0175,0.009066666666666666,0.019600000000000003,0.008125,0.0175,0.005,,0.003,0.0175,0.16526666666666667,0.0175,0.006136363636363636,0.003
2022-08-21 08:09:59.814693603 +0000 UTC m=+180.622515969,1661069399,0.011973684210526315,1.596,2.6753333333333336,0.004333333333333333,0.02392857142857143,0.019,0.008636363636363636,0.019600000000000003,0.0175,0.003,0.003,,0.0075,0.0375,0.16126666666666667,0.0075,0.006973684210526316,0.003
2022-08-21 08:10:59.776062609 +0000 UTC m=+240.583884996,1661069459,0.007963258785942492,7.98,15.897733333333333,0.005714285714285714,0.023125,0.0210377358490566,0.008966666666666664,0.019600000000000003,0.01375,0.004142857142857143,0.003666666666666667,0.0035714285714285718,0.009375,0.175,0.704,0.007,0.005307692307692308,0.005
2022-08-21 08:11:59.830736196 +0000 UTC m=+300.638558564,1661069519,0.008020446096654275,6.972,14.947466666666667,0.0038571428571428567,0.02277777777777778,0.01986111111111111,0.008678343949044588,0.021266666666666666,0.015089285714285713,0.004428571428571428,0.005,0.003521739130434782,0.0065,0.1625,0.6906666666666667,0.006875,0.006346153846153846,0.004333333333333333
2022-08-21 08:12:59.832284914 +0000 UTC m=+360.640107274,1661069579,0.00829153605015674,8.484,16.381733333333333,0.005,0.02341346153846154,0.020394736842105264,0.007714843750000001,0.021733333333333334,0.016689189189189192,0.06,0.0035,0.003999999999999999,0.007916666666666666,0.175,0.5425333333333333,0.008125,0.006707317073170732,0.0035
2022-08-21 08:14:00.01305033 +0000 UTC m=+420.820872706,1661069640,0.007539808917197452,7.896,16.776266666666665,0.0041111111111111105,0.022894736842105263,0.020441176470588233,0.008786231884057971,0.019600000000000003,0.016328125,0.006666666666666666,0.003333333333333333,0.003833333333333333,0.006875,0.19375,0.7606,0.0065,0.004153846153846153,0.003333333333333333
2022-08-21 08:14:59.870150899 +0000 UTC m=+480.677973279,1661069699,0.008352649006622517,7.728,15.547866666666668,0.007,0.024549999999999995,0.019954545454545454,0.027499999999999993,0.0228,0.019078947368421056,0.055000000000000014,0.0036666666666666666,0.0037826086956521737,0.007884615384615384,0.175,0.7122,0.008333333333333331,0.006494252873563217,0.0036666666666666666
2022-08-21 08:15:59.823258613 +0000 UTC m=+540.631081000,1661069759,0.009044444444444443,6.888,14.582,0.00625,0.04375,0.019852941176470587,0.009064885496183207,0.02096,0.12142857142857137,0.0375,0.0034000000000000002,0.0033000000000000004,0.01,0.4375,0.5398666666666667,0.00875,0.006689189189189189,0.00625
