Time,TimeStamp,ServiceName,SuccessRate(%),LatencyP50(s),LatencyP90(s),LatencyP95(s),LatencyP99(s)
2022-08-20 09:22:29.749078859 +0000 UTC m=+0.103262864,1660987349,Frontend,100,0.16283783783783784,0.8807692307692305,1.5174999999999974,2.3034999999999997
2022-08-20 09:23:29.718905852 +0000 UTC m=+60.073089865,1660987409,Frontend,100,0.20178571428571432,0.83,0.9899999999999998,2.1800000000000024
2022-08-20 09:24:29.744144838 +0000 UTC m=+120.098328853,1660987469,Frontend,100,0.17875,0.6333333333333335,0.9833333333333331,2.185000000000002
2022-08-20 09:25:29.732457209 +0000 UTC m=+180.086641215,1660987529,Frontend,100,0.16299999999999998,0.5666666666666669,0.7833333333333332,0.956666666666667
2022-08-20 09:26:29.750270222 +0000 UTC m=+240.104454238,1660987589,Frontend,100,0.17819148936170212,0.5458333333333338,0.8145833333333333,1.532499999999993
2022-08-20 09:27:29.743175258 +0000 UTC m=+300.097359263,1660987649,Frontend,100,0.16785714285714287,0.5187499999999997,0.9781250000000016,2.184999999999999
2022-08-20 09:28:29.739375556 +0000 UTC m=+360.093559583,1660987709,Frontend,100,0.15125,0.4512500000000003,0.6525000000000009,0.9305000000000004
2022-08-20 09:29:29.767953162 +0000 UTC m=+420.122137174,1660987769,Frontend,100,0.15043103448275863,0.44305555555555587,0.6361111111111113,0.9272222222222223
2022-08-20 09:30:29.756865188 +0000 UTC m=+480.111049194,1660987829,Frontend,100,0.1543103448275862,0.4250000000000003,0.5571428571428574,0.9114285714285718
2022-08-20 09:31:29.7432016 +0000 UTC m=+540.097385605,1660987889,Frontend,100,0.172,0.475,0.6999999999999993,0.9844444444444447
2022-08-20 09:32:29.748445546 +0000 UTC m=+600.102629550,1660987949,Frontend,100,0.18942307692307692,0.7705882352941178,0.9588235294117645,2.1160000000000028
2022-08-20 09:33:29.742685923 +0000 UTC m=+660.096869928,1660988009,Frontend,100,0.15,0.44500000000000006,0.6285714285714281,0.9828571428571446
2022-08-20 09:34:29.740421724 +0000 UTC m=+720.094605749,1660988069,Frontend,100,0.14868421052631578,0.683333333333333,0.9083333333333323,1.993749999999999
2022-08-20 09:35:29.739514953 +0000 UTC m=+780.093698961,1660988129,Frontend,100,0.15755813953488373,0.6115384615384615,0.8249999999999998,0.9957692307692307
2022-08-20 09:36:29.749687842 +0000 UTC m=+840.103871877,1660988189,Frontend,100,0.16275510204081634,0.4431818181818182,0.49431818181818177,0.9649999999999999
2022-08-20 09:37:29.745422025 +0000 UTC m=+900.099606036,1660988249,Frontend,100,0.1828125,0.5863636363636365,0.8613636363636364,1.8950000000000005
2022-08-20 09:38:29.743031752 +0000 UTC m=+960.097215758,1660988309,Frontend,100,0.14999999999999997,0.4222222222222222,0.5857142857142857,0.9742857142857133
2022-08-20 09:39:29.740457126 +0000 UTC m=+1020.094641160,1660988369,Frontend,100,0.14744897959183675,0.6708333333333336,0.9395833333333339,2.112999999999999
2022-08-20 09:40:29.749427725 +0000 UTC m=+1080.103611737,1660988429,Frontend,100,1.5192307692307692,2.3223076923076924,2.4226923076923077,2.824999999999999
2022-08-20 09:41:29.745137078 +0000 UTC m=+1140.099321094,1660988489,Frontend,100,1.5729166666666667,2.3645833333333335,2.4635416666666665,4.208333333333332
