time,timestamp,frontend_recommendationservice,cartservice_redis-cart,adservice_mysql,checkoutservice_productcatalogservice,recommendationservice_productcatalogservice,gateway_nats,checkoutservice_cartservice,frontend_adservice,checkoutservice_shippingservice,frontend_productcatalogservice,frontend_shippingservice,productcatalogservice_mysql,checkoutservice_emailservice,frontend_cartservice,checkoutservice_paymentservice,frontend_currencyservice,checkoutservice_currencyservice,frontend_checkoutservice
2022-08-20 09:22:30.292592991 +0000 UTC m=+0.646776997,1660987350,0.01685344827586207,0.701,7.728,0.0034285714285714284,0.0030652173913043477,0.0228,0.003,0.015795454545454543,0.003,0.0031631944444444446,0.003,15.941733333333334,0.003,0.0030341880341880345,0.003,0.03448275862068967,0.07083333333333335,0.375
2022-08-20 09:23:30.048339063 +0000 UTC m=+60.402523067,1660987410,0.01764705882352941,0.6532,8.316,0.003,0.0032352941176470584,0.0228,0.003,0.014759615384615387,0.003,0.00309,0.003,16.111333333333334,0.003,0.003017857142857143,0.003,0.00723684210526316,0.06875,0.2
2022-08-20 09:24:30.207774974 +0000 UTC m=+120.561958979,1660987470,0.016160714285714285,0.7318666666666667,7.476,0.0032,0.0031149425287356324,0.0228,0.003,0.015625,0.003,0.003124137931034483,0.003,15.836,0.003,0.0031090909090909094,0.003,0.005370370370370369,0.06875,0.5833333333333333
2022-08-20 09:25:30.256585029 +0000 UTC m=+180.610769035,1660987530,0.019025423728813558,0.7168666666666667,8.064,0.0032857142857142855,0.0030898876404494378,0.0228,0.003,0.01966666666666667,0.003,0.003108202443280977,0.003,15.528,0.003,0.003032,0.004,0.004530612244897959,0.0175,0.25
2022-08-20 09:26:30.56281921 +0000 UTC m=+240.917003221,1660987590,0.017857142857142856,0.6555333333333333,7.812,0.003,0.003219512195121951,0.0228,0.003,0.01890625,0.003,0.0031087719298245617,0.0030833333333333333,14.700533333333333,0.003,0.003070175438596491,0.003,0.004989189189189189,0.005,0.25
2022-08-20 09:27:30.388999672 +0000 UTC m=+300.743183685,1660987650,0.0185,0.9077999999999999,8.232,0.0032105263157894736,0.00325,0.0228,0.003181818181818182,0.020691489361702124,0.003,0.003150375939849624,0.003,18.316266666666667,0.003,0.003014814814814815,0.003,0.004514285714285715,0.005,0.375
2022-08-20 09:28:30.229038597 +0000 UTC m=+360.583222602,1660987710,0.019642857142857142,0.7205333333333332,7.476,0.003,0.0032117647058823528,0.0228,0.003,0.018418367346938778,0.003,0.0031058020477815695,0.003,15.625200000000001,0.003,0.0030499999999999998,0.003,0.003953488372093024,0.004200000000000001,0.2
2022-08-20 09:29:30.197558334 +0000 UTC m=+420.551742340,1660987770,0.019051724137931034,0.668,7.476,0.003,0.003136363636363637,0.0228,0.003,0.01818181818181818,0.003,0.0030785714285714283,0.003,14.775733333333333,0.003,0.003072072072072072,0.003,0.004707070707070707,0.0035454545454545456,0.1
2022-08-20 09:30:30.279077728 +0000 UTC m=+480.633261733,1660987830,0.019310344827586208,0.6192666666666666,9.24,0.003,0.003240963855421687,0.0228,0.003,0.018418367346938778,0.003,0.003095744680851064,0.0030625,15.187333333333333,0.003,0.0030925925925925925,0.003,0.004062240663900415,0.0036666666666666666,0.175
2022-08-20 09:31:30.101318391 +0000 UTC m=+540.455502396,1660987890,0.019285714285714285,0.6297333333333334,7.896,0.003,0.0032298850574712643,0.0228,0.0035,0.01888888888888889,0.0028461538461538463,0.0031070234113712374,0.002923076923076923,15.875733333333333,0.003,0.0030341880341880345,0.003,0.004988571428571428,0.03750000000000002,0.2
2022-08-20 09:32:30.395128054 +0000 UTC m=+600.749312059,1660987950,0.0181,0.6260666666666668,8.232,0.0031538461538461538,0.003120481927710843,0.0228,0.003,0.019905660377358494,0.0027142857142857142,0.0031433962264150943,0.003,14.478399999999999,0.003333333333333333,0.003,0.003,0.030769230769230785,0.06111111111111111,0.2125
