time,timestamp,checkoutservice_currencyservice,frontend_checkoutservice,adservice_mysql,cartservice_redis-cart,productcatalogservice_mysql,checkoutservice_paymentservice,checkoutservice_shippingservice,frontend_recommendationservice,frontend_adservice,frontend_shippingservice,frontend_productcatalogservice,frontend_currencyservice,recommendationservice_productcatalogservice,checkoutservice_cartservice,frontend_cartservice,checkoutservice_emailservice,checkoutservice_productcatalogservice,gateway_nats
2022-08-20 09:22:30.335461029 +0000 UTC m=+0.689645041,1660987350,0.01,0.40625,7.644,0.6222000000000001,16.685466666666667,0.003,0.003,0.020186567164179107,0.017594936708860757,0.003,0.0034738955823293174,0.012777777777777782,0.008166666666666666,0.004200000000000001,0.004682539682539682,0.0075,0.007,0.0228
2022-08-20 09:23:30.064445708 +0000 UTC m=+60.418629713,1660987410,0.0175,0.25,7.812,0.6435333333333333,16.153200000000002,0.003,0.003,0.0208984375,0.017922535211267604,0.0033478260869565213,0.003464065708418891,0.016818181818181812,0.008513513513513512,0.005,0.005515873015873016,0.0075,0.00375,0.0228
2022-08-20 09:24:30.227716176 +0000 UTC m=+120.581900182,1660987470,0.08055555555555556,0.375,7.392,0.6856,14.520266666666666,0.003,0.003,0.019671052631578947,0.0175,0.003,0.0035232558139534883,0.009605263157894737,0.007282608695652174,0.005,0.004901639344262295,0.008125,0.0035714285714285713,0.0228
2022-08-20 09:25:30.276739134 +0000 UTC m=+180.630923146,1660987530,0.04583333333333334,0.175,8.232,0.6743333333333333,15.244133333333334,0.00625,0.004428571428571428,0.020795454545454548,0.0211,0.004222222222222223,0.004373297002724795,0.008516260162601626,0.008491379310344828,0.003666666666666667,0.004295774647887324,0.004,0.007083333333333333,0.0228
2022-08-20 09:26:30.58891327 +0000 UTC m=+240.943097282,1660987590,0.03749999999999999,0.175,8.148,0.7531333333333333,13.107333333333333,0.005,0.003,0.020384615384615383,0.021170212765957444,0.004,0.004253405994550409,0.009010791366906475,0.00858695652173913,0.003666666666666667,0.005,0.005,0.006666666666666666,0.0228
2022-08-20 09:27:30.417438019 +0000 UTC m=+300.771622024,1660987650,0.0625,0.25,8.4,0.7984666666666667,16.353333333333335,0.003,0.0036666666666666666,0.020192307692307693,0.0236875,0.004039999999999999,0.00478477690288714,0.009669811320754717,0.008828125,0.005,0.00648936170212766,0.006666666666666666,0.006071428571428571,0.0228
2022-08-20 09:28:30.248060602 +0000 UTC m=+360.602244607,1660987710,0.007499999999999998,0.19375,7.476,0.6683333333333333,14.252,0.006666666666666666,0.0032857142857142855,0.021767241379310347,0.020528846153846154,0.00348,0.004126262626262626,0.00817241379310345,0.008826530612244898,0.005,0.0060855263157894735,0.0075,0.005625,0.0228
2022-08-20 09:29:30.217524399 +0000 UTC m=+420.571708412,1660987770,0.005,0.25,7.896,0.7417999999999999,14.062533333333333,0.003,0.0036666666666666666,0.02125,0.019344262295081967,0.004157894736842105,0.004080402010050252,0.00808467741935484,0.00872549019607843,0.005,0.005169491525423728,0.0075,0.00625,0.019600000000000003
2022-08-20 09:30:30.303237048 +0000 UTC m=+480.657421053,1660987830,0.0038571428571428567,0.175,8.988,0.716,15.171733333333334,0.003,0.003,0.021065573770491803,0.02232142857142857,0.004733333333333333,0.004323699421965318,0.008095238095238095,0.008679245283018869,0.00625,0.005048076923076923,0.003,0.0045,0.0228
2022-08-20 09:31:30.120093248 +0000 UTC m=+540.474277254,1660987890,0.004666666666666666,0.3125,8.232,0.6516666666666666,16.8068,0.005,0.004200000000000001,0.020909090909090912,0.02089622641509434,0.0038000000000000004,0.004712609970674487,0.008759541984732824,0.008774509803921568,0.006666666666666666,0.006139705882352942,0.0075,0.0045,0.0228
