TraceID,SpanID,ParentID,PodName,OperationName,StartTimeUnixNano,EndTimeUnixNano,Duration
005a929f0dd6427fbb5091e4275aa24f,b6f6c0a54bd0bea2,root,frontend-579b9bff58-t2dbm,hipstershop.Frontend/Recv.,1661264876572783667,1661264876689053171,116269
005a929f0dd6427fbb5091e4275aa24f,298349ed17e59e71,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661264876572925388,1661264876579360285,6434
005a929f0dd6427fbb5091e4275aa24f,fd87f9c4c0eca087,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/GetSupportedCurrencies,1661264876579372282,1661264876590153780,10781
005a929f0dd6427fbb5091e4275aa24f,a535108bf77c158d,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.CartService/GetCart,1661264876590181966,1661264876599113823,8931
005a929f0dd6427fbb5091e4275aa24f,e124d3cd9c694242,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/Convert,1661264876599150688,1661264876609353565,10202
005a929f0dd6427fbb5091e4275aa24f,cef2adc0e9b890d0,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.RecommendationService/ListRecommendations,1661264876609372559,1661264876618149702,8777
005a929f0dd6427fbb5091e4275aa24f,906a9190eefcdcdf,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661264876618168642,1661264876641129731,22961
005a929f0dd6427fbb5091e4275aa24f,8ca8ce17a0b70f1a,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661264876641154606,1661264876646278620,5124
005a929f0dd6427fbb5091e4275aa24f,c3f3a3e4c3b4b7d1,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661264876646292589,1661264876651901797,5609
005a929f0dd6427fbb5091e4275aa24f,0079d8307415dc16,b6f6c0a54bd0bea2,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661264876651917927,1661264876657678356,5760
