Time,TimeStamp,ServiceName,SuccessRate(%),LatencyP50(s),LatencyP90(s),LatencyP95(s),LatencyP99(s)
2023-01-27 02:09:02.430848013 +0000 UTC m=+0.164837607,1674785342,Frontend,0,0.175,0.42857142857142855,0.4642857142857143,0.49285714285714277
2023-01-27 02:10:02.380317138 +0000 UTC m=+60.114306734,1674785402,Frontend,0,0.12142857142857143,0.46666666666666673,0.6499999999999994,0.9300000000000003
2023-01-27 02:11:02.417660241 +0000 UTC m=+120.151649858,1674785462,Frontend,0,0.175,0.5750000000000001,0.7875,0.9574999999999997
2023-01-27 02:12:02.401308775 +0000 UTC m=+180.135298369,1674785522,Frontend,0,0.125,0.5,0.8749999999999996,2.0499999999999994
2023-01-27 02:13:02.396312525 +0000 UTC m=+240.130302120,1674785582,Frontend,0,0.109375,0.40625,0.4843749999999999,0.8750000000000004
2023-01-27 02:14:02.418386878 +0000 UTC m=+300.152376472,1674785642,Frontend,0,0.109375,0.5750000000000001,0.9124999999999996,2.0949999999999998
2023-01-27 02:15:02.414030192 +0000 UTC m=+360.148019815,1674785702,Frontend,0,0.18571428571428572,0.4250000000000001,0.4625,0.4925
2023-01-27 02:16:02.422249119 +0000 UTC m=+420.156238742,1674785762,Frontend,0,0.15000000000000002,0.46666666666666673,0.6499999999999994,0.9300000000000003
2023-01-27 02:17:02.41040374 +0000 UTC m=+480.144393335,1674785822,Frontend,0,0.125,0.49375,1.299999999999997,2.2600000000000016
2023-01-27 02:18:02.401609251 +0000 UTC m=+540.135598845,1674785882,Frontend,0,0.07916666666666666,0.33749999999999997,0.48125,0.8849999999999993
2023-01-27 02:19:02.421975971 +0000 UTC m=+600.155965574,1674785942,Frontend,0,0.265625,0.7833333333333332,0.975,2.154999999999998
2023-01-27 02:20:02.402626171 +0000 UTC m=+660.136615766,1674786002,Frontend,0,0.125,0.4650000000000001,0.5749999999999995,0.9150000000000003
2023-01-27 02:21:02.420184128 +0000 UTC m=+720.154173722,1674786062,Frontend,0,0.1375,0.41500000000000004,0.48249999999999993,0.8649999999999998
2023-01-27 02:22:02.420494808 +0000 UTC m=+780.154484401,1674786122,Frontend,0,0.075,0.3583333333333334,0.42916666666666664,0.4858333333333333
2023-01-27 02:23:02.428178996 +0000 UTC m=+840.162168591,1674786182,Frontend,0,0.09166666666666665,0.435,0.4925,0.8849999999999993
2023-01-27 02:24:02.420734807 +0000 UTC m=+900.154724401,1674786242,Frontend,0,0.05,0.3499999999999998,0.599999999999999,0.9200000000000005
2023-01-27 02:25:02.422212567 +0000 UTC m=+960.156202161,1674786302,Frontend,0,0.25,0.45,0.4749999999999999,0.495
2023-01-27 02:26:02.400036579 +0000 UTC m=+1020.134026174,1674786362,Frontend,0,0.25,1.5250000000000004,2.0125,2.4024999999999994
2023-01-27 02:27:02.401918267 +0000 UTC m=+1080.135907861,1674786422,Frontend,0,0.184375,0.4208333333333333,0.4604166666666666,0.4920833333333334
2023-01-27 02:28:02.41181659 +0000 UTC m=+1140.145806206,1674786482,Frontend,0,0.1375,0.7249999999999998,0.8624999999999998,0.9725000000000001
2023-01-27 02:29:02.419626877 +0000 UTC m=+1200.153616471,1674786542,Frontend,0,0.175,0.4500000000000001,0.49285714285714294,0.8800000000000002
2023-01-27 02:30:02.403290584 +0000 UTC m=+1260.137280178,1674786602,Frontend,0,0.1125,0.46785714285714286,0.6374999999999998,0.9274999999999997
2023-01-27 02:31:02.419743704 +0000 UTC m=+1320.153733298,1674786662,Frontend,0,0.11874999999999997,0.6749999999999999,0.8375,0.9674999999999998
2023-01-27 02:32:02.421254406 +0000 UTC m=+1380.155244000,1674786722,Frontend,0,0.08499999999999999,0.2624999999999999,0.3812499999999997,0.4762500000000001
2023-01-27 02:33:02.41093809 +0000 UTC m=+1440.144927707,1674786782,Frontend,0,0.2125,0.48125,1.5249999999999997,2.3049999999999993
2023-01-27 02:34:02.427248084 +0000 UTC m=+1500.161237679,1674786842,Frontend,0,0.06875,0.275,0.3874999999999999,0.4775
2023-01-27 02:35:02.420193777 +0000 UTC m=+1560.154183425,1674786902,Frontend,0,0.15,0.35000000000000014,0.425,0.485
2023-01-27 02:36:02.419321164 +0000 UTC m=+1620.153310758,1674786962,Frontend,0,0.08333333333333333,0.5,0.75,0.9499999999999996
2023-01-27 02:37:02.420169992 +0000 UTC m=+1680.154159587,1674787022,Frontend,0,0.1375,0.39166666666666694,0.4875000000000002,0.8849999999999997
