time,timestamp,checkoutservice_shippingservice,gateway_nats,frontend_adservice,checkoutservice_currencyservice,checkoutservice_cartservice,productcatalogservice_mysql,cartservice_redis-cart,frontend_shippingservice,checkoutservice_emailservice,frontend_checkoutservice,checkoutservice_paymentservice,adservice_mysql,frontend_recommendationservice,frontend_productcatalogservice,frontend_cartservice,checkoutservice_productcatalogservice,recommendationservice_productcatalogservice,frontend_currencyservice
2022-08-14 01:55:48.505334869 +0000 UTC m=+0.737136225,1660442148,0.003,0.0228,0.016904761904761905,0.05833333333333333,0.003,13.939066666666667,0.6550666666666667,0.0030952380952380953,0.003,0.175,0.003,7.644,0.02105263157894737,0.00318436873747495,0.0030388349514563107,0.003,0.0034225352112676054,0.0053846153846153835
2022-08-14 01:56:48.453926819 +0000 UTC m=+60.685728173,1660442208,0.003,0.0228,0.016270491803278688,0.01,0.003,14.0228,0.6626000000000001,0.003,0.003,0.175,0.003,6.888,0.021730769230769234,0.00315,0.0030181818181818187,0.004,0.0032666666666666664,0.04017857142857143
2022-08-14 01:57:48.397298881 +0000 UTC m=+120.629100255,1660442268,0.003,0.0228,0.015277777777777779,0.05,0.003,14.086666666666666,0.6656,0.003,0.003,0.375,0.003,7.644,0.01825,0.003202380952380952,0.0030776699029126217,0.003,0.0033888888888888888,0.011764705882352934
2022-08-14 01:58:48.259861808 +0000 UTC m=+180.491663161,1660442328,0.003,0.0228,0.016805555555555553,0.0175,0.0031538461538461538,13.716933333333332,0.7182000000000001,0.003,0.0034000000000000002,0.375,0.003,7.056,0.022102272727272727,0.003208768267223382,0.0031020408163265306,0.003,0.00359375,0.024062500000000004
2022-08-14 01:59:48.265759027 +0000 UTC m=+240.497560382,1660442388,0.003,0.0228,0.019086538461538464,0.0175,0.003181818181818182,15.352,0.4908666666666667,0.003,0.003,0.33333333333333337,0.003,8.316,0.018749999999999996,0.003196296296296296,0.003018018018018018,0.003533333333333333,0.003240963855421687,0.004832402234636872
2022-08-14 02:00:48.29016854 +0000 UTC m=+300.521969896,1660442448,0.003,0.0228,0.018418367346938778,0.003666666666666667,0.003,13.049866666666667,0.686,0.003,0.003,0.75,0.003,6.216,0.020691489361702124,0.003128099173553719,0.003082474226804124,0.003,0.003298507462686567,0.004558974358974358
2022-08-14 02:01:48.246676963 +0000 UTC m=+360.478478316,1660442508,0.003,0.0228,0.019375,0.0037058823529411765,0.003,13.879466666666668,0.5281333333333333,0.003173913043478261,0.003,0.2125,0.003,7.056,0.018478260869565215,0.0031203883495145627,0.0030412371134020616,0.003125,0.0031818181818181815,0.003985221674876848
2022-08-14 02:02:48.428389457 +0000 UTC m=+420.660190810,1660442568,0.003,0.0228,0.01795,0.07272727272727272,0.003,13.0896,0.6614666666666666,0.003,0.003,0.175,0.003,7.728,0.019729729729729726,0.0032334801762114534,0.00304,0.003,0.0033529411764705885,0.004551724137931035
2022-08-14 02:03:48.458787264 +0000 UTC m=+480.690588625,1660442628,0.0031333333333333335,0.0228,0.0184375,0.0031538461538461538,0.003,14.973733333333334,0.6700666666666667,0.002928571428571429,0.0032222222222222222,0.1875,0.003,7.056,0.02,0.0031663585951940847,0.003053571428571429,0.0032222222222222222,0.0033116883116883116,0.004355450236966825
2022-08-14 02:04:48.585575785 +0000 UTC m=+540.817377139,1660442688,0.003,0.0228,0.01671875,0.004,,12.455866666666667,0.6417333333333334,0.003,,0.175,0.003,6.804,0.01953125,0.0031344902386117135,0.00314,,0.0033384615384615384,0.004989583333333334
2022-08-14 02:05:48.511763121 +0000 UTC m=+600.743564485,1660442748,0.003,0.0228,0.018421052631578946,0.0075,0.003,16.331333333333333,0.7014,0.003,0.003,0.175,0.003,7.644,0.019411764705882354,0.0031879194630872487,0.003016949152542373,0.003,0.0034500000000000004,0.025937499999999995
2022-08-14 02:06:48.524121709 +0000 UTC m=+660.755923063,1660442808,0.003,0.0228,0.018181818181818184,0.01,0.003,15.266133333333332,0.6340666666666667,0.003,0.003,0.2,0.003,8.148,0.019519230769230768,0.0031145833333333334,0.003055045871559633,0.0031538461538461538,0.0030666666666666668,0.005378787878787877
2022-08-14 02:07:48.446117743 +0000 UTC m=+720.677919095,1660442868,0.003,0.0228,0.019593023255813954,0.01,,12.805733333333334,0.722,0.003,0.0175,0.1,0.003,6.804,0.017366071428571432,0.003191897654584222,0.0031616161616161618,,0.0034375,0.011499999999999995
2022-08-14 02:08:48.476060655 +0000 UTC m=+780.707862032,1660442928,0.0027142857142857142,0.0228,0.018405172413793105,0.003909090909090909,0.003,16.513733333333334,0.6416000000000001,0.0030689655172413794,0.003,0.25,0.003,8.232,0.01861111111111111,0.0032013651877133105,0.0030344827586206895,0.0033076923076923075,0.0031777777777777776,0.004898477157360406
2022-08-14 02:09:48.48464344 +0000 UTC m=+840.716444793,1660442988,0.003,0.0228,0.017377049180327866,0.025,0.003181818181818182,15.327866666666667,0.7376666666666666,0.0029130434782608694,0.003,0.1375,0.003,6.972,0.01955882352941176,0.00315,0.003,0.0032222222222222222,0.0034358974358974356,0.009732142857142858
2022-08-14 02:10:48.416461153 +0000 UTC m=+900.648262509,1660443048,0.003,0.0228,0.01773809523809524,0.004555555555555556,0.0032222222222222222,15.327866666666667,0.6401333333333333,0.003,0.003,0.25,0.003,7.56,0.01823529411764706,0.0031045296167247385,0.0031284403669724773,0.003125,0.0031951219512195124,0.00513157894736842
2022-08-14 02:11:48.380299778 +0000 UTC m=+960.612101132,1660443108,0.003,0.0228,0.019852941176470587,0.01,0.003,15.266133333333332,0.7303999999999999,0.0030000000000000005,0.003,0.175,0.003,7.896,0.01775,0.0031369369369369368,0.0030366972477064223,0.0031538461538461538,0.0033291139240506328,0.00472020725388601
2022-08-14 02:12:48.416184494 +0000 UTC m=+1020.647985850,1660443168,0.003,0.0228,0.0175,0.003333333333333333,0.003,9.8252,0.47553333333333336,0.0028947368421052633,0.003,0.175,0.003,4.368,0.020945945945945947,0.004486238532110091,0.0032153846153846156,0.0032222222222222222,0.004135135135135135,0.007330508474576272
2022-08-14 02:13:48.525438242 +0000 UTC m=+1080.757239595,1660443228,0.003,0.0228,0.02175,0.003,,8.923200000000001,0.41026666666666667,0.003,0.003,0.25,0.003,6.048,0.019214285714285715,0.004693877551020408,0.003354838709677419,0.005,0.003604651162790698,0.009166666666666667
2022-08-14 02:14:48.302263909 +0000 UTC m=+1140.534065263,1660443288,0.003,0.0228,0.01984375,0.004200000000000001,0.003,9.974933333333333,0.42826666666666663,0.003,0.003,0.3125,0.003,5.46,0.019464285714285715,0.004477876106194691,0.0032121212121212117,0.003181818181818182,0.004454545454545454,0.01138349514563107
